News_Title,News_Link
"WC 2023 Live Shafique, Fakhar Slam 50s; Pakistan In Control vs Bangladesh",https://sports.ndtv.com/cricket/pakistan-vs-bangladesh-live-score-updates-icc-cricket-world-cup-2023-pak-vs-ban-live-4530378#pfrom=home-ndtv_worldcup
World Cup Semis Scenario How Pakistan Can Still Finish In Top 4 Spots,https://sports.ndtv.com/icc-cricket-world-cup-2023/how-can-pakistan-qualify-for-the-semi-finals-of-icc-cricket-world-cup-2023-4527213#pfrom=home-ndtv_worldcup
"Ravi Shastri's Blunt One,Liner On ""Difference Between India And England""",https://sports.ndtv.com/icc-cricket-world-cup-2023/you-call-yourselves-world-champions-shastri-blasts-englands-cricket-world-cup-2023-show-4527776#pfrom=home-ndtv_worldcup
Pakistan Coach Blames 'Foreign Conditions' In India For World Cup Debacle,https://sports.ndtv.com/icc-cricket-world-cup-2023/pakistan-coach-blames-foreign-conditions-in-india-for-cricket-world-cup-debacle-4528264#pfrom=home-ndtv_worldcup
Cricket World Cup 2023 India Defeat England To Continue Unbeaten Streak,https://sports.ndtv.com/icc-cricket-world-cup-2023/photos/cricket-world-cup-2023-india-beat-england-to-continue-unbeaten-streak-106319#pfrom=home-ndtv_worldcup
"WC 2023 Virat Kohli, Mohammed Shami Guide India To Fifth Consecutive Win",https://sports.ndtv.com/icc-cricket-world-cup-2023/photos/cricket-world-cup-2023-virat-kohli-mohammed-shami-guide-india-to-fifth-consecutive-win-106281#pfrom=home-ndtv_worldcup
ODI World Cup Virat Kohli's 48th ODI Ton Guides India To 4th Consecutive Win,https://sports.ndtv.com/icc-cricket-world-cup-2023/photos/odi-world-cup-virat-kohlis-48th-odi-ton-guides-india-to-4th-consecutive-win-106264#pfrom=home-ndtv_worldcup
IND vs PAK India Beat Pakistan For 8th Consecutive Time In ODI World Cup,https://sports.ndtv.com/icc-cricket-world-cup-2023/photos/ind-vs-pak-india-beat-pakistan-for-8th-consecutive-time-in-odi-world-cup-106229#pfrom=home-ndtv_worldcup
World Cup 2023 | Are Rohit Sharma's Men At Par With Ponting's 2003 Winners?,https://sports.ndtv.com/icc-cricket-world-cup-2023/videos/world-cup-2023-are-rohit-sharma-s-men-at-par-with-ponting-s-2003-winners-735344#pfrom=home-ndtv_worldcup
"India Beat England, Fans Celebrate In Lucknow",https://sports.ndtv.com/icc-cricket-world-cup-2023/videos/cricket-world-cup-india-beat-england-fans-celebrate-in-lucknow-735244#pfrom=home-ndtv_worldcup
